Transaction_ID;User_ID;Transaction_Amount;Transaction_Type;Timestamp;Account_Balance;Device_Type;Location;Merchant_Category;IP_Address_Flag;Previous_Fraudulent_Activity;Daily_Transaction_Count;Avg_Transaction_Amount_7d;Failed_Transaction_Count_7d;Card_Type;Card_Age;Transaction_Distance;Authentication_Method;Risk_Score;Is_Weekend;Fraud_Label
TXN_33553;USER_1834;39.79;POS;14/08/2023 19:30;93213.17;Laptop;Sydney;Travel;0;0;7;437.63;3;Amex;65;883.17;Biometric;0.8494;0;0
TXN_9427;USER_7875;1.19;Bank Transfer;07/06/2023 04:01;75725.25;Mobile;New York;Clothing;0;0;13;478.76;4;Mastercard;186;2203.36;Password;0.0959;0;1
TXN_199;USER_2734;28.96;Online;20/06/2023 15:25;1588.96;Tablet;Mumbai;Restaurants;0;0;14;50.01;4;Visa;226;1909.29;Biometric;0.84;0;1
TXN_12447;USER_2617;254.32;ATM Withdrawal;07/12/2023 00:31;76807.2;Tablet;New York;Clothing;0;0;8;182.48;4;Visa;76;1311.86;OTP;0.7935;0;1
TXN_39489;USER_2014;31.28;POS;11/11/2023 23:44;92354.66;Mobile;Mumbai;Electronics;0;1;14;328.69;4;Mastercard;140;966.98;Password;0.3819;1;1
TXN_42724;USER_6852;168.55;Online;05/06/2023 20:55;33236.94;Laptop;Tokyo;Restaurants;0;0;3;226.85;2;Discover;51;1725.64;OTP;0.0504;0;0
TXN_10822;USER_5052;3.79;POS;07/11/2023 01:18;86834.18;Tablet;London;Restaurants;0;0;2;298.35;2;Mastercard;168;3757.19;Password;0.0875;0;0
TXN_49498;USER_4660;7.08;ATM Withdrawal;25/02/2023 03:43;45826.27;Tablet;London;Restaurants;0;0;3;164.38;4;Discover;182;1764.66;Biometric;0.5326;0;1
TXN_4144;USER_1584;34.25;ATM Withdrawal;09/03/2023 22:51;94392.35;Tablet;Tokyo;Clothing;0;0;7;90.02;3;Visa;24;550.38;Biometric;0.1347;1;0
TXN_36958;USER_9498;16.24;POS;20/09/2023 17:27;91859.97;Mobile;Mumbai;Travel;0;0;6;474.42;1;Mastercard;124;720.91;PIN;0.3394;0;0
TXN_43106;USER_2848;367.5;POS;11/04/2023 07:11;14640.09;Laptop;Mumbai;Electronics;0;0;4;397.58;0;Amex;136;292.36;PIN;0.643;0;0
TXN_38695;USER_6860;50.44;ATM Withdrawal;06/08/2023 08:22;19962.22;Laptop;London;Travel;0;0;14;278.55;1;Discover;131;3993.62;PIN;0.4582;0;0
TXN_6188;USER_6728;55.5;ATM Withdrawal;20/07/2023 03:10;89664.63;Laptop;London;Groceries;0;0;6;483.58;4;Discover;192;3721.54;OTP;0.5837;0;1
TXN_1414;USER_6655;54.09;Bank Transfer;17/11/2023 20:13;51287.15;Mobile;Sydney;Electronics;0;0;11;152.63;2;Amex;91;1061.27;PIN;0.1454;0;0
TXN_18471;USER_7651;9.66;Online;20/06/2023 17:15;12420.17;Tablet;New York;Electronics;0;0;6;173.97;0;Mastercard;5;762.21;OTP;0.0793;1;0
TXN_29282;USER_1248;64.78;POS;03/07/2023 09:20;23487.76;Laptop;Mumbai;Restaurants;0;0;1;17.85;2;Amex;3;3378.44;Password;0.2245;0;0
TXN_15177;USER_9349;37.11;POS;21/12/2023 08:48;92977.91;Tablet;Sydney;Electronics;0;0;12;457.42;3;Visa;135;395.36;Biometric;0.1136;1;0
TXN_34304;USER_9413;1.58;Bank Transfer;08/04/2023 09:13;63076.36;Laptop;New York;Clothing;0;0;13;309.49;1;Amex;47;2074.77;Biometric;0.3433;0;0
TXN_12609;USER_5861;178.56;POS;16/08/2023 10:01;62359.52;Tablet;Tokyo;Groceries;0;0;4;491.21;4;Visa;29;2159.31;Password;0.444;1;1
TXN_12144;USER_5939;19.37;Bank Transfer;29/04/2023 04:34;34416.01;Tablet;London;Travel;0;0;9;163.5;3;Discover;129;4436.61;PIN;0.2924;0;0
TXN_6113;USER_5566;22.02;ATM Withdrawal;28/12/2023 04:45;55851.38;Mobile;Sydney;Electronics;0;0;13;179.73;3;Visa;204;633.99;PIN;0.1305;1;0
TXN_15908;USER_4615;203.97;ATM Withdrawal;18/06/2023 23:36;73616.91;Mobile;New York;Restaurants;1;0;4;482.2;4;Mastercard;173;4723.22;Password;0.8633;1;1
TXN_821;USER_3832;55.35;POS;11/05/2023 16:15;88292.27;Tablet;Sydney;Electronics;0;0;12;283.43;0;Visa;80;625.67;PIN;0.7883;1;0
